Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Tech Support,Group D,Part Time,Married,24,Los Angeles,00:00.0,Non Active,11,17,3 Years,3 Years,Doctor,Low,Medium,Excellent,Medium,Bad,Mercer,Female,116447,Blue Collar,1394
Tech Support,Group D,Full Time,Married,42,Seattle,00:00.0,Active,6,17,1 Year,3 Years,Doctor,High,Medium,Excellent,High,Good,Erickson,Female,85715,Blue Collar,1402
Asset Management,Group C,Part Time,Married,26,Los Angeles,00:00.0,Active,3,11,3 Years,3 Years,College,High,Medium,Excellent,High,Good,Baxter,Male,72385,Blue Collar,1409
Customer Service,Group C,Part Time,Married,50,Seattle,00:00.0,Active,12,16,3 Years,3 Years,Bachelor,Medium,Medium,Low,High,Bad,Acosta,Male,113760,Blue Collar,1411
Customer Relations,Group A,Part Time,Married,48,Los Angeles,00:00.0,Active,10,19,1 Year,3 Years,Bachelor,Very High,Medium,Outstanding,Medium,Bad,Ayers,Male,87392,Blue Collar,1421
Finances,Group A,Full Time,Married,61,Los Angeles,00:00.0,Non Active,8,6,2 Years,3 Years,Masters,Low,Low,Outstanding,Low,Good,Tyler,Female,109467,Blue Collar,1426
Customer Service,Group A,Full Time,Married,53,Los Angeles,00:00.0,Non Active,2,11,1 Year,3 Years,Bachelor,Low,Very High,Outstanding,Medium,Good,Marks,Female,104326,Blue Collar,1481
Asset Management,Group B,Full Time,Married,48,Seattle,00:00.0,Active,8,16,2 Years,3 Years,Masters,Low,Very High,Good,Very High,Best,Mckay,Male,83072,Blue Collar,1503
Media Relations,Group D,Part Time,Married,24,New York City,00:00.0,Active,11,14,2 Years,3 Years,Masters,High,High,Excellent,Very High,Good,Durham,Female,80193,Blue Collar,1513
Quality Assurance,Group C,Full Time,Married,36,New York City,00:00.0,Active,3,13,3 Years,3 Years,College,High,Low,Excellent,Low,Good,Hamilton,Female,74740,Blue Collar,1523
Finances,Group D,Full Time,Married,37,Los Angeles,00:00.0,Non Active,5,8,1 Year,3 Years,Doctor,Medium,High,Low,Medium,Better,Adams,Male,99857,Blue Collar,1555
Payroll,Group B,Full Time,Married,37,Houston,00:00.0,Active,5,20,3 Years,3 Years,Doctor,High,High,Low,High,Best,Rutledge,Male,84991,Blue Collar,1578
Finances,Group C,Full Time,Married,61,Seattle,00:00.0,Active,1,16,2 Years,3 Years,Doctor,High,High,Good,Medium,Best,Wyatt,Male,100117,Blue Collar,1642
Legal Department,Group A,Part Time,Married,31,New York City,00:00.0,Non Active,4,9,2 Years,3 Years,Doctor,Medium,Medium,Low,High,Good,Mcneil,Female,100303,Blue Collar,1689
Tech Support,Group B,Part Time,Married,59,Seattle,00:00.0,Non Active,4,8,1 Year,3 Years,Masters,Low,Medium,Outstanding,Medium,Best,Daniels,Female,93808,Blue Collar,1708
Customer Relations,Group A,Full Time,Married,60,Houston,00:00.0,Active,7,16,1 Year,3 Years,College,Low,High,Excellent,Medium,Good,Cochran,Male,88992,Blue Collar,1714
Media Relations,Group A,Full Time,Married,64,Seattle,00:00.0,Active,8,7,3 Years,3 Years,College,Medium,Very High,Low,High,Good,Taylor,Female,90935,Blue Collar,1759
Research and Development,Group A,Part Time,Married,60,Seattle,00:00.0,Non Active,10,12,3 Years,3 Years,Masters,High,High,Excellent,Very High,Best,William,Female,111366,Blue Collar,1764
Finances,Group C,Part Time,Married,53,New York City,00:00.0,Active,3,6,3 Years,3 Years,College,Very High,Low,Outstanding,Very High,Bad,Gamble,Female,83958,Blue Collar,1898
Research and Development,Group B,Part Time,Married,51,Houston,00:00.0,Non Active,5,19,3 Years,3 Years,Bachelor,Very High,Medium,Excellent,Medium,Bad,Harper,Female,111286,Blue Collar,1907
Finances,Group A,Full Time,Married,55,New York City,00:00.0,Non Active,7,8,2 Years,3 Years,Doctor,Medium,Medium,Good,Low,Best,Bonner,Female,115870,Blue Collar,1982
Tech Support,Group B,Full Time,Married,53,New York City,00:00.0,Non Active,6,10,2 Years,3 Years,College,Very High,Very High,Good,Medium,Best,Morgan,Male,77531,Blue Collar,1992
Research and Development,Group D,Part Time,Married,31,New York City,00:00.0,Active,2,6,1 Year,3 Years,Bachelor,Medium,High,Low,High,Bad,Kelly,Female,74966,Blue Collar,1996
Accounting,Group D,Full Time,Married,30,Los Angeles,00:00.0,Active,10,5,1 Year,3 Years,College,Medium,Very High,Excellent,Medium,Bad,Larsen,Male,84274,Blue Collar,2001
Media Relations,Group C,Full Time,Married,42,Los Angeles,00:00.0,Active,5,13,1 Year,3 Years,Bachelor,High,Low,Low,High,Good,Rodgers,Male,118987,Blue Collar,2011
Human Resources,Group A,Full Time,Married,41,Los Angeles,00:00.0,Non Active,3,14,2 Years,3 Years,Bachelor,High,Very High,Low,Very High,Good,Vega,Male,103060,Blue Collar,2037
Tech Support,Group B,Part Time,Married,42,New York City,00:00.0,Non Active,8,15,1 Year,3 Years,College,Very High,Low,Excellent,Medium,Good,Nieves,Female,119127,Blue Collar,2085
Media Relations,Group D,Full Time,Married,24,Houston,00:00.0,Non Active,8,20,2 Years,3 Years,Bachelor,High,Low,Excellent,Low,Better,Bruce,Male,73955,Blue Collar,2099
Payroll,Group C,Part Time,Married,32,Los Angeles,00:00.0,Non Active,12,12,1 Year,3 Years,Doctor,Very High,Low,Outstanding,High,Good,Jacobs,Female,94011,Blue Collar,2115
Advertising,Group B,Full Time,Married,55,Houston,00:00.0,Non Active,11,15,2 Years,3 Years,Doctor,Very High,Low,Excellent,Medium,Bad,Blake,Female,83495,Blue Collar,2148
Quality Assurance,Group C,Full Time,Married,55,New York City,00:00.0,Non Active,5,20,1 Year,3 Years,Doctor,Very High,Low,Low,High,Bad,Roy,Male,113401,Blue Collar,2169
Quality Assurance,Group A,Full Time,Married,64,Houston,00:00.0,Active,1,12,1 Year,3 Years,Bachelor,Low,Medium,Low,High,Good,Knox,Male,117630,Blue Collar,2251
Finances,Group D,Part Time,Married,55,Houston,00:00.0,Non Active,7,5,2 Years,3 Years,Masters,Very High,Medium,Outstanding,Very High,Good,Mcleod,Male,79830,Blue Collar,2255
Media Relations,Group B,Part Time,Married,64,New York City,00:00.0,Active,5,13,3 Years,3 Years,Bachelor,Medium,Medium,Excellent,Low,Better,Travis,Male,87446,Blue Collar,2303
Human Resources,Group B,Full Time,Married,57,Los Angeles,00:00.0,Active,2,5,1 Year,3 Years,Doctor,Low,Very High,Excellent,High,Good,Beasley,Female,75107,Blue Collar,2311
Payroll,Group D,Part Time,Married,33,Seattle,00:00.0,Active,5,5,3 Years,3 Years,Bachelor,High,Low,Low,Very High,Best,Mcknight,Female,87735,Blue Collar,2325
Finances,Group C,Full Time,Married,49,New York City,00:00.0,Non Active,12,14,2 Years,3 Years,Masters,Low,Low,Good,Very High,Better,White,Male,103779,Blue Collar,2333
Media Relations,Group A,Full Time,Married,59,Los Angeles,00:00.0,Active,5,6,2 Years,3 Years,Masters,Low,Medium,Excellent,Low,Good,Barber,Female,80116,Blue Collar,2339
Accounting,Group B,Part Time,Married,41,New York City,00:00.0,Non Active,2,19,1 Year,3 Years,College,Medium,Medium,Low,Very High,Best,Perez,Female,110683,Blue Collar,2341
Finances,Group C,Part Time,Married,48,Los Angeles,00:00.0,Active,9,17,2 Years,3 Years,Bachelor,Low,Very High,Good,Very High,Bad,Valenzuela,Female,118274,Blue Collar,2350
Customer Relations,Group C,Full Time,Married,36,Houston,00:00.0,Non Active,1,13,1 Year,3 Years,Masters,High,High,Excellent,Very High,Good,Luna,Female,73849,Blue Collar,2358
Quality Assurance,Group A,Part Time,Married,38,Los Angeles,00:00.0,Active,10,19,2 Years,3 Years,Bachelor,Medium,High,Outstanding,Medium,Good,Banks,Female,83320,Blue Collar,2389
Asset Management,Group C,Part Time,Married,41,Los Angeles,00:00.0,Active,7,7,1 Year,3 Years,Bachelor,Very High,Low,Low,High,Bad,Fry,Male,77332,Blue Collar,2393
Accounting,Group D,Full Time,Married,28,New York City,00:00.0,Active,4,20,1 Year,3 Years,Masters,Low,High,Excellent,Low,Better,Carey,Female,85330,Blue Collar,2395
Finances,Group D,Part Time,Married,56,New York City,00:00.0,Active,1,6,2 Years,3 Years,Bachelor,Very High,Medium,Good,Medium,Good,Craft,Female,94097,Blue Collar,2413
Customer Service,Group D,Part Time,Married,51,Seattle,00:00.0,Active,3,20,1 Year,3 Years,Bachelor,Medium,Low,Low,Medium,Good,Bartlett,Female,84325,Blue Collar,2431
Accounting,Group B,Full Time,Married,37,New York City,00:00.0,Active,2,11,2 Years,3 Years,Bachelor,High,Medium,Excellent,Very High,Best,Gonzalez,Female,70915,Blue Collar,2470
Public Relations,Group D,Full Time,Married,25,Los Angeles,00:00.0,Non Active,5,12,3 Years,3 Years,Bachelor,High,Low,Outstanding,Low,Better,Cox,Female,85532,Blue Collar,2547
Public Relations,Group C,Full Time,Married,36,Los Angeles,00:00.0,Non Active,6,10,1 Year,3 Years,College,Very High,Low,Excellent,Low,Better,Willis,Female,85727,Blue Collar,2554
Sales and Marketing,Group C,Part Time,Married,27,Seattle,00:00.0,Active,9,8,1 Year,3 Years,Bachelor,Very High,Very High,Outstanding,High,Good,Malone,Female,86274,Blue Collar,2573
Human Resources,Group A,Full Time,Married,49,Los Angeles,00:00.0,Non Active,12,11,2 Years,3 Years,Masters,Low,Medium,Outstanding,Medium,Best,Sherman,Male,88112,Blue Collar,2587
Customer Relations,Group D,Full Time,Married,25,Los Angeles,00:00.0,Non Active,1,7,1 Year,3 Years,Masters,Very High,High,Good,Medium,Best,Mooney,Male,86503,Blue Collar,2625
Research and Development,Group B,Part Time,Married,45,Houston,00:00.0,Non Active,6,6,1 Year,3 Years,Bachelor,High,Medium,Outstanding,Very High,Better,Ortiz,Female,73654,Blue Collar,2637
Payroll,Group D,Full Time,Married,29,New York City,00:00.0,Active,7,7,2 Years,3 Years,Bachelor,Very High,High,Good,Low,Good,Lucas,Male,85112,Blue Collar,2641
Tech Support,Group C,Full Time,Married,64,Houston,00:00.0,Non Active,5,17,3 Years,3 Years,Doctor,Medium,Low,Excellent,Low,Better,Rutledge,Female,88436,Blue Collar,2649
Asset Management,Group C,Full Time,Married,35,Houston,00:00.0,Active,12,14,2 Years,3 Years,Doctor,Low,High,Outstanding,Very High,Best,Stuart,Female,105233,Blue Collar,2655
Public Relations,Group C,Full Time,Married,40,New York City,00:00.0,Non Active,9,16,1 Year,3 Years,Doctor,Very High,Low,Outstanding,Very High,Best,Howell,Male,90772,Blue Collar,2681
Quality Assurance,Group A,Part Time,Married,43,Seattle,00:00.0,Active,9,19,2 Years,3 Years,Doctor,Medium,Medium,Low,Low,Good,Orr,Female,119380,Blue Collar,2684
Asset Management,Group B,Part Time,Married,50,Houston,00:00.0,Non Active,12,17,3 Years,3 Years,Masters,High,High,Low,Very High,Better,Goodman,Male,97725,Blue Collar,2727
Accounting,Group D,Part Time,Married,65,New York City,00:00.0,Non Active,7,6,1 Year,3 Years,Masters,Very High,Very High,Low,Medium,Good,Kirkland,Male,88754,Blue Collar,2738
Payroll,Group C,Full Time,Married,26,Seattle,00:00.0,Active,4,13,3 Years,3 Years,Masters,High,Low,Outstanding,Very High,Better,Mcneil,Male,75638,Blue Collar,2740
Sales and Marketing,Group B,Full Time,Married,63,New York City,00:00.0,Non Active,4,17,2 Years,3 Years,College,High,Low,Good,Very High,Better,Ford,Female,79182,Blue Collar,2789
Research and Development,Group B,Full Time,Married,53,Houston,00:00.0,Non Active,1,6,1 Year,3 Years,Masters,Low,Medium,Good,Very High,Best,Irwin,Female,72851,Blue Collar,2803
Payroll,Group D,Part Time,Married,37,Los Angeles,00:00.0,Non Active,4,6,2 Years,3 Years,Doctor,Medium,Very High,Good,Very High,Bad,Sutton,Male,82209,Blue Collar,2823
Customer Service,Group D,Part Time,Married,54,New York City,00:00.0,Non Active,5,18,3 Years,3 Years,Doctor,Medium,Medium,Outstanding,Very High,Better,Mosley,Female,118943,Blue Collar,2938
Sales and Marketing,Group C,Part Time,Married,60,Houston,00:00.0,Active,7,5,1 Year,3 Years,College,Low,Low,Excellent,Low,Good,Reeves,Female,101672,Blue Collar,2958
Customer Relations,Group A,Full Time,Married,45,Seattle,00:00.0,Non Active,3,7,3 Years,3 Years,Masters,Low,Medium,Excellent,High,Better,Gross,Female,110540,Blue Collar,2981
Public Relations,Group A,Full Time,Married,25,New York City,00:00.0,Active,1,19,2 Years,3 Years,Masters,High,Very High,Low,High,Bad,Tillman,Female,113219,Blue Collar,2999
Sales and Marketing,Group C,Full Time,Married,56,Houston,00:00.0,Non Active,10,5,3 Years,3 Years,Bachelor,Low,Low,Low,Medium,Good,Waters,Male,81458,Blue Collar,3023
Quality Assurance,Group C,Full Time,Married,65,Houston,00:00.0,Active,4,20,1 Year,3 Years,Doctor,Medium,Medium,Outstanding,Very High,Better,Mccarty,Female,86176,Blue Collar,3126
Human Resources,Group A,Part Time,Married,59,Los Angeles,00:00.0,Active,12,11,3 Years,3 Years,Bachelor,Low,Medium,Low,Very High,Better,Ray,Male,71552,Blue Collar,3147
Legal Department,Group B,Full Time,Married,56,Los Angeles,00:00.0,Active,2,5,1 Year,3 Years,Bachelor,Very High,Very High,Outstanding,Medium,Best,Alford,Female,74654,Blue Collar,3161
Research and Development,Group A,Full Time,Married,28,Seattle,00:00.0,Active,7,19,3 Years,3 Years,Bachelor,High,High,Outstanding,High,Better,Ward,Male,106981,Blue Collar,3179
Media Relations,Group A,Part Time,Married,38,Los Angeles,00:00.0,Non Active,3,11,3 Years,3 Years,Masters,High,Very High,Excellent,Very High,Best,Stewart,Female,114298,Blue Collar,3274
Payroll,Group C,Part Time,Married,49,Seattle,00:00.0,Non Active,3,17,2 Years,3 Years,Doctor,Medium,Medium,Low,Very High,Better,Gay,Female,102769,Blue Collar,3310
Sales and Marketing,Group B,Full Time,Married,56,Seattle,00:00.0,Active,6,20,2 Years,3 Years,College,Low,High,Good,Low,Good,Jacobson,Female,77469,Blue Collar,3311
Advertising,Group C,Part Time,Married,64,Houston,00:00.0,Active,2,18,3 Years,3 Years,College,Medium,Very High,Good,Medium,Better,Gonzalez,Male,88039,Blue Collar,3324
Customer Relations,Group C,Part Time,Married,61,Seattle,00:00.0,Active,4,19,3 Years,3 Years,Doctor,Very High,Very High,Good,Low,Bad,Barber,Female,99998,Blue Collar,3358
Tech Support,Group D,Full Time,Married,62,New York City,00:00.0,Non Active,12,9,3 Years,3 Years,Masters,Medium,Low,Outstanding,High,Good,Raymond,Female,92407,Blue Collar,3374
Accounting,Group C,Part Time,Married,36,New York City,00:00.0,Non Active,5,19,3 Years,3 Years,Masters,Low,Very High,Outstanding,High,Better,Kane,Female,72565,Blue Collar,3402
Media Relations,Group B,Full Time,Married,40,Los Angeles,00:00.0,Active,1,6,3 Years,3 Years,Doctor,Very High,Low,Outstanding,Very High,Better,Diaz,Male,87676,Blue Collar,3429
Payroll,Group B,Part Time,Married,29,Seattle,00:00.0,Active,1,10,2 Years,3 Years,College,Low,Medium,Low,Very High,Good,Castillo,Female,106180,Blue Collar,3441
Asset Management,Group D,Part Time,Married,28,Seattle,00:00.0,Active,1,16,1 Year,3 Years,College,Low,High,Good,Very High,Best,Lara,Male,87334,Blue Collar,3465
Finances,Group D,Part Time,Married,38,Houston,00:00.0,Non Active,5,9,1 Year,3 Years,College,Very High,High,Good,Medium,Bad,Blackwell,Female,117694,Blue Collar,3470
Media Relations,Group A,Part Time,Married,57,Los Angeles,00:00.0,Active,12,11,2 Years,3 Years,Doctor,Medium,High,Excellent,Medium,Good,Christensen,Male,92945,Blue Collar,3475
Customer Service,Group D,Part Time,Married,62,New York City,00:00.0,Active,8,12,1 Year,3 Years,Masters,Low,Medium,Good,High,Better,Burke,Female,81695,Blue Collar,3478
Media Relations,Group B,Full Time,Divorced,64,New York City,00:00.0,Active,8,7,1 Year,3 Years,Masters,Very High,High,Low,High,Good,Battle,Female,116647,White Collar,37
Accounting,Group A,Full Time,Married,32,New York City,00:00.0,Non Active,5,11,1 Year,3 Years,Bachelor,High,Medium,Excellent,Very High,Best,Oneal,Male,119080,White Collar,59
Accounting,Group D,Full Time,Single,45,New York City,00:00.0,Active,2,14,1 Year,3 Years,College,Very High,Medium,Low,Medium,Best,Gilliam,Female,89184,White Collar,69
Advertising,Group B,Full Time,Single,49,Seattle,00:00.0,Active,2,13,1 Year,3 Years,Masters,Medium,High,Low,Very High,Better,Bryan,Male,85948,White Collar,91
Accounting,Group C,Full Time,Divorced,58,Houston,00:00.0,Non Active,1,20,1 Year,3 Years,Doctor,Low,Very High,Low,Medium,Bad,Mayo,Male,88076,White Collar,113
Sales and Marketing,Group B,Part Time,Married,53,Seattle,00:00.0,Active,11,15,1 Year,3 Years,College,Medium,High,Excellent,Medium,Good,Collins,Male,84461,White Collar,135
Media Relations,Group A,Full Time,Single,35,Houston,00:00.0,Non Active,9,18,1 Year,3 Years,Masters,Medium,High,Low,Medium,Better,Kirkland,Female,107000,White Collar,147
Public Relations,Group C,Part Time,Married,52,Seattle,00:00.0,Active,4,16,1 Year,3 Years,Doctor,Medium,Low,Good,Low,Better,Boyer,Female,112779,White Collar,153
Accounting,Group C,Full Time,Divorced,64,New York City,00:00.0,Non Active,1,20,1 Year,3 Years,Bachelor,Medium,Low,Low,Medium,Better,Valencia,Female,84120,White Collar,226
Tech Support,Group D,Part Time,Single,44,New York City,00:00.0,Non Active,9,9,1 Year,3 Years,Doctor,Medium,Medium,Low,Medium,Bad,Kelley,Male,85447,White Collar,241
Human Resources,Group C,Part Time,Single,53,Houston,00:00.0,Non Active,3,10,1 Year,3 Years,College,Very High,Low,Outstanding,Very High,Better,Townsend,Male,81445,White Collar,252
Finances,Group A,Full Time,Married,39,Houston,00:00.0,Non Active,1,10,1 Year,3 Years,Bachelor,Medium,High,Good,High,Better,Cline,Female,74806,White Collar,257
Research and Development,Group B,Full Time,Married,50,New York City,00:00.0,Non Active,7,16,1 Year,3 Years,Masters,Medium,Medium,Outstanding,High,Good,Stewart,Male,88330,White Collar,274
Tech Support,Group A,Full Time,Married,41,Seattle,00:00.0,Active,7,18,1 Year,3 Years,Doctor,Low,Medium,Excellent,Medium,Good,Dickerson,Male,85077,White Collar,279
Payroll,Group C,Full Time,Divorced,29,New York City,00:00.0,Active,12,13,1 Year,3 Years,College,Very High,High,Excellent,High,Best,Marsh,Male,77203,White Collar,304
Media Relations,Group D,Part Time,Single,59,Los Angeles,00:00.0,Non Active,4,8,1 Year,3 Years,Masters,Medium,Medium,Low,Low,Best,Nixon,Female,70964,White Collar,332
Finances,Group D,Part Time,Divorced,63,Los Angeles,00:00.0,Non Active,4,6,1 Year,3 Years,Masters,Medium,High,Outstanding,Low,Good,Logan,Female,104054,White Collar,344
Sales and Marketing,Group B,Part Time,Married,65,Seattle,00:00.0,Active,12,19,1 Year,3 Years,Masters,Medium,Medium,Low,High,Bad,Nguyen,Male,72000,White Collar,345
Finances,Group D,Full Time,Divorced,62,Los Angeles,00:00.0,Active,12,17,1 Year,3 Years,College,Very High,High,Low,Medium,Better,Weaver,Male,99047,White Collar,376
Public Relations,Group C,Full Time,Married,51,New York City,00:00.0,Non Active,9,6,1 Year,3 Years,College,Very High,Very High,Outstanding,Low,Best,Hatfield,Male,91539,White Collar,450
Finances,Group B,Part Time,Divorced,46,New York City,00:00.0,Non Active,7,9,1 Year,3 Years,Masters,Low,High,Low,Low,Better,Arnold,Female,84464,White Collar,454
Advertising,Group D,Full Time,Married,32,Houston,00:00.0,Active,9,7,1 Year,3 Years,Doctor,Very High,High,Low,Medium,Good,Spears,Female,116492,White Collar,539
Legal Department,Group A,Part Time,Divorced,38,Los Angeles,00:00.0,Active,3,16,1 Year,3 Years,Bachelor,Medium,Medium,Low,Medium,Bad,Wilkinson,Male,104983,White Collar,561
Customer Service,Group C,Part Time,Single,25,New York City,00:00.0,Active,4,14,1 Year,3 Years,Masters,Very High,Very High,Low,Low,Bad,Hurst,Male,80738,White Collar,586
Media Relations,Group A,Full Time,Married,30,Seattle,00:00.0,Active,5,12,1 Year,3 Years,Masters,Low,Medium,Low,Very High,Best,Glover,Male,88723,White Collar,609
Customer Relations,Group B,Full Time,Married,45,New York City,00:00.0,Non Active,3,6,1 Year,3 Years,Bachelor,Very High,Low,Excellent,High,Bad,Blackburn,Female,96759,White Collar,614
Advertising,Group B,Part Time,Married,30,Seattle,00:00.0,Non Active,4,8,1 Year,3 Years,Masters,Very High,Very High,Low,High,Better,Roth,Male,88767,White Collar,617
Advertising,Group C,Part Time,Divorced,44,New York City,00:00.0,Non Active,5,13,1 Year,3 Years,Masters,Medium,Low,Excellent,Low,Good,Newton,Male,101850,White Collar,667
Quality Assurance,Group D,Full Time,Married,64,Houston,00:00.0,Active,11,13,1 Year,3 Years,Bachelor,High,High,Excellent,Low,Good,Montgomery,Male,91052,White Collar,674
Customer Relations,Group A,Part Time,Divorced,24,Houston,00:00.0,Active,2,8,1 Year,3 Years,College,Very High,High,Outstanding,Low,Best,Hancock,Male,95960,White Collar,724
Quality Assurance,Group C,Full Time,Divorced,32,Seattle,00:00.0,Non Active,12,5,1 Year,3 Years,Masters,Low,Low,Outstanding,High,Bad,Barrett,Female,118765,White Collar,804
Customer Service,Group A,Full Time,Divorced,42,Los Angeles,00:00.0,Active,2,11,1 Year,3 Years,Bachelor,Low,High,Excellent,Very High,Best,Burnett,Female,117574,White Collar,815
Research and Development,Group D,Part Time,Married,35,Houston,00:00.0,Non Active,3,20,1 Year,3 Years,Doctor,Low,High,Outstanding,Low,Best,Summers,Female,118708,White Collar,824
Human Resources,Group C,Part Time,Divorced,49,Los Angeles,00:00.0,Non Active,4,12,1 Year,3 Years,Masters,Low,Very High,Low,Medium,Best,Mcdaniel,Female,87085,White Collar,831
Public Relations,Group D,Full Time,Divorced,24,Houston,00:00.0,Non Active,5,17,1 Year,3 Years,Doctor,High,Very High,Good,Very High,Bad,Bridges,Female,93012,White Collar,853
Asset Management,Group A,Part Time,Single,45,New York City,00:00.0,Non Active,8,8,1 Year,3 Years,Bachelor,Very High,Low,Low,Medium,Good,Sexton,Female,105484,White Collar,930
Quality Assurance,Group D,Full Time,Married,61,Los Angeles,00:00.0,Active,6,5,1 Year,3 Years,Bachelor,Very High,Medium,Good,High,Better,Hendricks,Male,99756,White Collar,952
Accounting,Group D,Full Time,Married,64,Los Angeles,00:00.0,Non Active,2,7,1 Year,3 Years,Masters,Low,Low,Excellent,High,Better,Huffman,Female,117899,White Collar,991
Customer Relations,Group C,Full Time,Single,31,Los Angeles,00:00.0,Non Active,11,6,1 Year,3 Years,Doctor,Medium,High,Excellent,Very High,Best,Best,Male,102015,White Collar,1014
Tech Support,Group B,Full Time,Divorced,56,New York City,00:00.0,Non Active,12,16,1 Year,3 Years,College,Very High,Low,Good,Low,Better,Figueroa,Female,90684,White Collar,1024
Customer Relations,Group C,Part Time,Single,42,Los Angeles,00:00.0,Active,10,8,1 Year,3 Years,Bachelor,High,Low,Excellent,High,Best,Graves,Female,104536,White Collar,1065
Payroll,Group A,Part Time,Married,60,Los Angeles,00:00.0,Non Active,8,12,1 Year,3 Years,Masters,Very High,Very High,Outstanding,High,Better,Gillespie,Female,98390,White Collar,1093
Human Resources,Group D,Part Time,Married,50,Los Angeles,00:00.0,Active,4,13,1 Year,3 Years,College,Very High,High,Low,Low,Good,Barrett,Male,95726,White Collar,1220
Finances,Group C,Full Time,Single,56,New York City,00:00.0,Active,4,11,1 Year,3 Years,College,Very High,Very High,Excellent,Very High,Good,Quinn,Female,95727,White Collar,1229
Sales and Marketing,Group A,Full Time,Married,31,Houston,00:00.0,Non Active,6,13,1 Year,3 Years,Masters,Low,Low,Outstanding,Very High,Best,Paul,Male,80606,White Collar,1241
Tech Support,Group B,Part Time,Divorced,46,New York City,00:00.0,Non Active,7,10,1 Year,3 Years,Doctor,Medium,Medium,Outstanding,Low,Good,Tyson,Male,107527,White Collar,1248
Tech Support,Group D,Part Time,Single,41,Houston,00:00.0,Active,5,11,1 Year,3 Years,College,Very High,High,Low,Very High,Bad,Lane,Male,115152,White Collar,1280
Customer Relations,Group A,Part Time,Divorced,24,Seattle,00:00.0,Active,4,18,1 Year,3 Years,Masters,Low,Low,Good,High,Better,Snider,Male,110984,White Collar,1285
Tech Support,Group C,Part Time,Single,39,Houston,00:00.0,Non Active,1,5,1 Year,3 Years,Bachelor,High,Medium,Good,Low,Best,Ballard,Female,105817,White Collar,1296
Public Relations,Group B,Full Time,Married,39,New York City,00:00.0,Non Active,8,10,1 Year,3 Years,Bachelor,Low,Low,Outstanding,Low,Bad,Barton,Male,113945,White Collar,1326
Quality Assurance,Group A,Part Time,Single,25,New York City,00:00.0,Active,7,12,1 Year,3 Years,Doctor,Low,Medium,Excellent,High,Bad,Kemp,Male,118760,White Collar,1343
Customer Service,Group C,Full Time,Single,57,Los Angeles,00:00.0,Active,9,16,1 Year,3 Years,Bachelor,High,High,Excellent,High,Better,Mckay,Male,118123,White Collar,1358
Sales and Marketing,Group C,Part Time,Divorced,64,New York City,00:00.0,Active,5,18,1 Year,3 Years,Masters,Medium,Medium,Low,Very High,Good,Glover,Female,102674,White Collar,1369
Asset Management,Group D,Part Time,Married,41,Los Angeles,00:00.0,Active,6,10,1 Year,3 Years,Bachelor,High,Medium,Excellent,Very High,Better,Massey,Female,104176,White Collar,1389
Human Resources,Group C,Part Time,Divorced,32,New York City,00:00.0,Non Active,4,17,1 Year,3 Years,Masters,Low,Very High,Outstanding,Medium,Bad,Deleon,Male,92926,White Collar,1451
Legal Department,Group C,Full Time,Married,25,Seattle,00:00.0,Non Active,1,11,1 Year,3 Years,Bachelor,High,High,Excellent,Very High,Better,Gilliam,Female,86091,White Collar,1496
Advertising,Group D,Part Time,Married,55,Houston,00:00.0,Non Active,4,19,1 Year,3 Years,College,Low,Medium,Good,Low,Good,Rowland,Female,98762,White Collar,1533
Finances,Group A,Part Time,Married,58,New York City,00:00.0,Active,7,19,1 Year,3 Years,Bachelor,Medium,Very High,Outstanding,Low,Better,Clemons,Male,86551,White Collar,1566
Tech Support,Group C,Full Time,Divorced,44,Seattle,00:00.0,Active,6,17,1 Year,3 Years,College,Very High,High,Good,Medium,Bad,French,Female,85004,White Collar,1596
Asset Management,Group B,Part Time,Divorced,28,Los Angeles,00:00.0,Active,12,18,1 Year,3 Years,Bachelor,Very High,Low,Good,Medium,Bad,Melton,Male,117288,White Collar,1639
Quality Assurance,Group C,Part Time,Single,38,Houston,00:00.0,Non Active,5,14,1 Year,3 Years,Masters,Low,Low,Good,Very High,Bad,Reese,Female,108826,White Collar,1654
Human Resources,Group A,Part Time,Married,27,Los Angeles,00:00.0,Active,12,7,1 Year,3 Years,Doctor,Medium,Very High,Good,Very High,Good,Higgins,Female,78987,White Collar,1670
Sales and Marketing,Group B,Full Time,Divorced,41,Los Angeles,00:00.0,Non Active,2,12,1 Year,3 Years,College,Medium,High,Excellent,Very High,Good,Pena,Male,100755,White Collar,1828
Legal Department,Group B,Full Time,Divorced,42,Los Angeles,00:00.0,Non Active,8,11,1 Year,3 Years,Doctor,Low,Very High,Low,Very High,Good,Hyde,Male,105313,White Collar,1832
Public Relations,Group D,Part Time,Married,27,Seattle,00:00.0,Non Active,8,5,1 Year,3 Years,College,High,Very High,Low,High,Bad,French,Female,84240,White Collar,1866
Advertising,Group D,Part Time,Married,31,Los Angeles,00:00.0,Non Active,2,20,1 Year,3 Years,Masters,Low,High,Good,Very High,Bad,Snyder,Female,114676,White Collar,1884
